"","motif","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","motif.name"
"211","MA0132.2",9.15092550129837e-72,1.97124985700415,0.827,0.467,5.79253584232187e-69,"NFIB high_NE","PDX1"
"212","MA0132.2",6.55729765054461e-23,1.22835404122377,0.658,0.471,4.15076941279474e-20,"NE_6","PDX1"
"213","MA0132.2",3.77731568765362e-06,1.28825683517704,0.67,0.479,0.00239104083028474,"NE_8","PDX1"
"214","MA0136.2",3.84343212249999e-23,1.3706065099781,1,0.436,2.43289253354249e-20,"Endothelial cells","ELF5"
"215","MA0137.3",3.21016179784109e-286,1.63459850141021,0.849,0.387,2.03203241803341e-283,"Club cells_1","STAT1"
"216","MA0137.3",3.42901137632725e-12,3.09866731925348,0.871,0.458,2.17056420121515e-09,"Stromal cells","STAT1"
"217","MA0137.3",6.39089728310465e-25,6.56295919545431,0.976,0.457,4.04543798020524e-22,"Endothelial cells","STAT1"
"218","MA0138.2",5.86423433898076e-28,0.757442980832591,0.725,0.495,3.71206033657482e-25,"NFIB high_NE","REST"
"219","MA0139.1",2.87687496306129e-11,2.48263247802463,0.69,0.474,1.8210618516178e-08,"AT2 cells","CTCF"
"220","MA0139.1",6.2249639539682e-15,2.78796631609499,0.968,0.476,3.94040218286187e-12,"Stromal cells","CTCF"
"221","MA0139.1",6.5687182313907e-20,9.63191215702971,1,0.475,4.15799864047031e-17,"Endothelial cells","CTCF"
"222","MA0140.2",1.37284475157895e-22,4.71937466564402,0.976,0.489,8.69010727749477e-20,"Endothelial cells","GATA1::TAL1"
"223","MA0141.3",6.40436210722182e-43,1.781326957613,0.832,0.478,4.05396121387141e-40,"Club cells_3","ESRRB"
"224","MA0141.3",0.0013123273168868,0.514555460932535,0.62,0.484,0.830703191589342,"Cilliated cells","ESRRB"
"225","MA0141.3",8.99146964586866e-39,1.28983506905022,0.736,0.472,5.69160028583486e-36,"Club cell_2","ESRRB"
"226","MA0141.3",3.81535501340254e-145,1.18277178471499,0.76,0.434,2.41511972348381e-142,"Club cells_1","ESRRB"
"227","MA0143.4",2.8525472639635e-61,2.01728838621473,0.87,0.513,1.8056624180889e-58,"NFIB high_NE","SOX2"
"228","MA0143.4",2.7768273412715e-17,3.32832098197959,0.952,0.526,1.75773170702486e-14,"Endothelial cells","SOX2"
"229","MA0143.4",4.99904328810843e-09,0.648316741972926,0.618,0.522,3.16439440137264e-06,"NE_6","SOX2"
"230","MA0143.4",6.92234477540713e-86,1.30017744468057,0.783,0.493,4.38184424283271e-83,"NE_3","SOX2"
"231","MA0144.2",0,2.32144866556625,0.892,0.363,0,"Club cells_1","STAT3"
"232","MA0144.2",2.99458739074849e-94,0.776074151208024,0.878,0.422,1.8955738183438e-91,"Club cell_2","STAT3"
"233","MA0144.2",1.3292889109935e-14,4.29099110342873,0.935,0.444,8.41439880658884e-12,"Stromal cells","STAT3"
"234","MA0144.2",1.83884753907711e-22,5.03918865874346,0.976,0.443,1.16399049223581e-19,"Endothelial cells","STAT3"
"235","MA0145.3",1.13138154760224e-36,0.761444100022226,0.859,0.429,7.16164519632219e-34,"Club cells_3","TFCP2"
"236","MA0145.3",0,2.56628733478972,0.899,0.353,0,"Club cells_1","TFCP2"
"237","MA0145.3",2.07588391757993e-137,2.564408142071,0.94,0.412,1.3140345198281e-134,"Club cell_2","TFCP2"
"238","MA0147.3",1.67154880288238e-19,0.565038563220637,0.588,0.484,1.05809039222454e-16,"NE_3","MYC"
"239","MA0147.3",7.34906383910585e-08,0.857524737545306,0.69,0.493,4.651957410154e-05,"AT2 cells","MYC"
"240","MA0147.3",8.4835383434087e-05,1.00680258603131,0.555,0.493,0.0537007977137771,"NE_6","MYC"
"241","MA0148.4",1.33171006878116e-102,2.0929107236868,0.713,0.432,8.42972473538472e-100,"NE_3","FOXA1"
"242","MA0148.4",1.48280083886428e-31,3.61143301970937,0.68,0.453,9.38612931001088e-29,"NE_6","FOXA1"
"243","MA0148.4",0.00167831709303,1.26489919951994,0.63,0.464,1,"NE_8","FOXA1"
"244","MA0149.1",4.32162392603465e-05,0.653980237377683,0.738,0.488,0.0273558794517994,"Endothelial cells","EWSR1-FLI1"
"245","MA0149.1",1.35904312224717e-27,0.654501923000028,0.709,0.477,8.60274296382458e-25,"Club cell_2","EWSR1-FLI1"
"246","MA0149.1",4.98117478421652e-98,0.768164250721282,0.706,0.449,3.15308363840906e-95,"Club cells_1","EWSR1-FLI1"
"247","MA0152.1",2.39852807312141e-14,5.90956934947222,0.968,0.48,1.51826827028585e-11,"Stromal cells","NFATC2"
"248","MA0152.1",1.50318799456523e-12,1.21872903255917,0.905,0.48,9.51518000559789e-10,"Endothelial cells","NFATC2"
"249","MA0152.1",0.000242603680039754,0.512135235846454,0.517,0.477,0.153568129465164,"NE_3","NFATC2"
"250","MA0153.2",3.84462031112486e-17,1.1454118373338,0.728,0.445,2.43364465694204e-14,"Club cells_3","HNF1B"
"251","MA0153.2",9.60863587309665e-71,0.607243946933701,0.823,0.431,6.08226650767018e-68,"Club cell_2","HNF1B"
"252","MA0153.2",9.07141491389217e-184,1.01345856327592,0.768,0.392,5.74220564049375e-181,"Club cells_1","HNF1B"
"253","MA0153.2",2.42337012915149e-37,1.60436600301149,0.894,0.444,1.5339932917529e-34,"AT2 cells","HNF1B"
"254","MA0154.4",0.00163196636779733,2.69743221614653,0.677,0.49,1,"Stromal cells","EBF1"
